id,word,meaning,,,,,,,,,,,,,,,wrong1,wrong2,wrong3,レベル,品詞
1,the,その,,,,,,,,,,,,,,,過激派,翡翠,岩,1,冠詞類
2,of,の,,,,,,,,,,,,,,,その,過激派,翡翠,1,前置詞
3,and,そして,,,,,,,,,,,,,,,の,その,過激派,1,接続詞
4,a,ある,,,,,,,,,,,,,,,そして,の,その,1,冠詞類
5,in,で,,,,,,,,,,,,,,,ある,そして,の,1,前置詞
6,to,への,,,,,,,,,,,,,,,で,ある,そして,1,前置詞
7,it,それ,,,,,,,,,,,,,,,への,で,ある,1,代名詞
8,I,私,,,,,,,,,,,,,,,それ,への,で,1,代名詞
9,be,であります,,,,,,,,,,,,,,,私,それ,への,1,動詞
10,you,あなた,,,,,,,,,,,,,,,であります,私,それ,1,代名詞
11,for,にとって,,,,,,,,,,,,,,,あなた,であります,私,1,前置詞
12,that,その,,,,,,,,,,,,,,,にとって,あなた,であります,1,接続詞
13,he,彼,,,,,,,,,,,,,,,その,にとって,あなた,1,代名詞
14,with,と,,,,,,,,,,,,,,,彼,その,にとって,1,前置詞
15,on,の上の,,,,,,,,,,,,,,,と,彼,その,1,前置詞
16,at,で,,,,,,,,,,,,,,,の上の,と,彼,1,前置詞
17,have,持つ,,,,,,,,,,,,,,,で,の上の,と,1,動詞
18,they,彼ら,,,,,,,,,,,,,,,持つ,で,の上の,1,代名詞
19,but,しかし,,,,,,,,,,,,,,,彼ら,持つ,で,1,接続詞
20,this,これ,,,,,,,,,,,,,,,しかし,彼ら,持つ,1,形容詞
21,we,我々,,,,,,,,,,,,,,,これ,しかし,彼ら,1,代名詞
22,his,彼の,,,,,,,,,,,,,,,我々,これ,しかし,1,代名詞
23,not,ない,,,,,,,,,,,,,,,彼の,我々,これ,1,副詞
24,she,彼女,,,,,,,,,,,,,,,ない,彼の,我々,1,代名詞
25,from,より,,,,,,,,,,,,,,,彼女,ない,彼の,1,前置詞
26,by,によって,,,,,,,,,,,,,,,より,彼女,ない,1,前置詞
27,do,する,,,,,,,,,,,,,,,によって,より,彼女,1,動詞
28,as,として,,,,,,,,,,,,,,,する,によって,より,1,接続詞
29,or,または,,,,,,,,,,,,,,,として,する,によって,1,接続詞
30,what,何,,,,,,,,,,,,,,,または,として,する,1,形容詞
31,all,すべて,,,,,,,,,,,,,,,何,または,として,1,形容詞
32,if,もし,,,,,,,,,,,,,,,すべて,何,または,1,接続詞
33,their,彼らの,,,,,,,,,,,,,,,もし,すべて,何,1,代名詞
34,would,だろう,,,,,,,,,,,,,,,彼らの,もし,すべて,1,助動詞
35,which,どの,,,,,,,,,,,,,,,だろう,彼らの,もし,1,形容詞
36,her,彼女,,,,,,,,,,,,,,,どの,だろう,彼らの,1,代名詞
37,say,言う,,,,,,,,,,,,,,,彼女,どの,だろう,1,動詞
38,who,誰,,,,,,,,,,,,,,,言う,彼女,どの,1,代名詞
39,can,缶,,,,,,,,,,,,,,,誰,言う,彼女,1,助動詞
40,there,その,,,,,,,,,,,,,,,缶,誰,言う,1,副詞
41,will,意志,,,,,,,,,,,,,,,その,缶,誰,1,助動詞
42,up,上,,,,,,,,,,,,,,,意志,その,缶,1,副詞
43,so,だから,,,,,,,,,,,,,,,上,意志,その,1,副詞
44,one,1,,,,,,,,,,,,,,,だから,上,意志,1,数詞
45,my,私の,,,,,,,,,,,,,,,1,だから,上,1,代名詞
46,about,について,,,,,,,,,,,,,,,私の,1,だから,1,前置詞
47,them,彼ら,,,,,,,,,,,,,,,について,私の,1,1,代名詞
48,him,彼,,,,,,,,,,,,,,,彼ら,について,私の,1,代名詞
49,me,私,,,,,,,,,,,,,,,彼,彼ら,について,1,代名詞
50,just,ちょうど,,,,,,,,,,,,,,,私,彼,彼ら,1,副詞
51,out,外へ,,,,,,,,,,,,,,,ちょうど,私,彼,1,副詞
52,know,知っている,,,,,,,,,,,,,,,外へ,ちょうど,私,1,動詞
53,some,いくつか,,,,,,,,,,,,,,,知っている,外へ,ちょうど,1,形容詞
54,could,可能性がある,,,,,,,,,,,,,,,いくつか,知っている,外へ,1,助動詞
55,into,に,,,,,,,,,,,,,,,可能性がある,いくつか,知っている,1,前置詞
56,when,いつ,,,,,,,,,,,,,,,に,可能性がある,いくつか,1,接続詞
57,then,では,,,,,,,,,,,,,,,いつ,に,可能性がある,1,副詞
58,your,あなたの,,,,,,,,,,,,,,,では,いつ,に,1,代名詞
59,now,今,,,,,,,,,,,,,,,あなたの,では,いつ,1,副詞
60,time,時間,,,,,,,,,,,,,,,今,あなたの,では,1,名詞
61,two,2,,,,,,,,,,,,,,,時間,今,あなたの,1,数詞
62,people,人々,,,,,,,,,,,,,,,2,時間,今,1,名詞
63,well,さて,,,,,,,,,,,,,,,人々,2,時間,1,副詞
64,like,ような,,,,,,,,,,,,,,,さて,人々,2,1,前置詞
65,think,思う,,,,,,,,,,,,,,,ような,さて,人々,1,動詞
66,than,よりも,,,,,,,,,,,,,,,思う,ような,さて,1,接続詞
67,get,得る,,,,,,,,,,,,,,,よりも,思う,ような,1,動詞
68,its,その,,,,,,,,,,,,,,,得る,よりも,思う,1,代名詞
69,other,その他,,,,,,,,,,,,,,,その,得る,よりも,1,形容詞
70,no,いいえ,,,,,,,,,,,,,,,その他,その,得る,1,形容詞
71,how,どのように,,,,,,,,,,,,,,,いいえ,その他,その,1,副詞
72,these,これら,,,,,,,,,,,,,,,どのように,いいえ,その他,1,形容詞
73,first,第一,,,,,,,,,,,,,,,これら,どのように,いいえ,1,序数詞
74,see,見る,,,,,,,,,,,,,,,第一,これら,どのように,1,動詞
75,very,とても,,,,,,,,,,,,,,,見る,第一,これら,1,副詞
76,also,また,,,,,,,,,,,,,,,とても,見る,第一,1,副詞
77,our,私たちの,,,,,,,,,,,,,,,また,とても,見る,1,代名詞
78,only,のみ,,,,,,,,,,,,,,,私たちの,また,とても,1,副詞
79,go,行く,,,,,,,,,,,,,,,のみ,私たちの,また,1,動詞
80,because,なぜなら,,,,,,,,,,,,,,,行く,のみ,私たちの,1,接続詞
81,new,新しい,,,,,,,,,,,,,,,なぜなら,行く,のみ,1,形容詞
82,any,いずれも,,,,,,,,,,,,,,,新しい,なぜなら,行く,1,形容詞
83,way,方法,,,,,,,,,,,,,,,いずれも,新しい,なぜなら,1,名詞
84,year,年,,,,,,,,,,,,,,,方法,いずれも,新しい,1,名詞
85,more,もっと見る,,,,,,,,,,,,,,,年,方法,いずれも,1,形容詞
86,here,これ,,,,,,,,,,,,,,,もっと見る,年,方法,1,副詞
87,good,良い,,,,,,,,,,,,,,,これ,もっと見る,年,1,形容詞
88,down,下へ,,,,,,,,,,,,,,,良い,これ,もっと見る,1,副詞
89,should,べきである,,,,,,,,,,,,,,,下へ,良い,これ,1,助動詞
90,back,後ろへ,,,,,,,,,,,,,,,べきである,下へ,良い,1,副詞
91,many,幾つも,,,,,,,,,,,,,,,後ろへ,べきである,下へ,1,形容詞
92,those,それら,,,,,,,,,,,,,,,幾つも,後ろへ,べきである,1,形容詞
93,may,かもしれない,,,,,,,,,,,,,,,それら,幾つも,後ろへ,1,助動詞
94,make,作る,,,,,,,,,,,,,,,かもしれない,それら,幾つも,1,動詞
95,after,その後,,,,,,,,,,,,,,,作る,かもしれない,それら,1,前置詞
96,three,3,,,,,,,,,,,,,,,その後,作る,かもしれない,1,数詞
97,even,でさえ,,,,,,,,,,,,,,,3,その後,作る,1,副詞
98,last,最後,,,,,,,,,,,,,,,でさえ,3,その後,1,序数詞
99,over,の上,,,,,,,,,,,,,,,最後,でさえ,3,1,前置詞
100,want,なぜなら,,,,,,,,,,,,,,,の上,最後,でさえ,1,動詞
101,through,を通して,,,,,,,,,,,,,,,なぜなら,の上,最後,1,前置詞
102,us,私たち,,,,,,,,,,,,,,,を通して,なぜなら,の上,1,代名詞
103,still,まだ,,,,,,,,,,,,,,,私たち,を通して,なぜなら,1,副詞
104,take,取る,,,,,,,,,,,,,,,まだ,私たち,を通して,1,動詞
105,oh,アッ,,,,,,,,,,,,,,,取る,まだ,私たち,1,間投詞
106,too,も,,,,,,,,,,,,,,,アッ,取る,まだ,1,副詞
107,between,間,,,,,,,,,,,,,,,も,アッ,取る,1,前置詞
108,yes,はい,,,,,,,,,,,,,,,間,も,アッ,1,間投詞
109,day,日,,,,,,,,,,,,,,,はい,間,も,1,名詞
110,really,本当に,,,,,,,,,,,,,,,日,はい,間,1,副詞
111,man,男性,,,,,,,,,,,,,,,本当に,日,はい,1,名詞
112,world,世界,,,,,,,,,,,,,,,男性,本当に,日,1,名詞
113,something,何か,,,,,,,,,,,,,,,世界,男性,本当に,1,代名詞
114,never,決して,,,,,,,,,,,,,,,何か,世界,男性,1,副詞
115,come,来る,,,,,,,,,,,,,,,決して,何か,世界,1,動詞
116,own,所有する,,,,,,,,,,,,,,,来る,決して,何か,1,形容詞
117,life,人生,,,,,,,,,,,,,,,所有する,来る,決して,1,名詞
118,why,なぜ,,,,,,,,,,,,,,,人生,所有する,来る,1,副詞
119,another,もう一つ,,,,,,,,,,,,,,,なぜ,人生,所有する,1,形容詞
120,again,また,,,,,,,,,,,,,,,もう一つ,なぜ,人生,1,副詞
121,much,多く,,,,,,,,,,,,,,,また,もう一つ,なぜ,1,形容詞
122,same,同じ,,,,,,,,,,,,,,,多く,また,もう一つ,1,形容詞
123,such,そのような,,,,,,,,,,,,,,,同じ,多く,また,1,形容詞
124,right,右,,,,,,,,,,,,,,,そのような,同じ,多く,1,副詞
125,against,に対して,,,,,,,,,,,,,,,右,そのような,同じ,1,前置詞
126,must,しなければならない,,,,,,,,,,,,,,,に対して,右,そのような,1,助動詞
127,where,どこ,,,,,,,,,,,,,,,しなければならない,に対して,右,1,副詞
128,thing,もの,,,,,,,,,,,,,,,どこ,しなければならない,に対して,1,名詞
129,while,同時に,,,,,,,,,,,,,,,もの,どこ,しなければならない,1,接続詞
130,work,仕事,,,,,,,,,,,,,,,同時に,もの,どこ,1,名詞
131,house,家,,,,,,,,,,,,,,,仕事,同時に,もの,1,名詞
132,most,最も,,,,,,,,,,,,,,,家,仕事,同時に,1,副詞
133,off,離れて,,,,,,,,,,,,,,,最も,家,仕事,1,副詞
134,old,古い,,,,,,,,,,,,,,,離れて,最も,家,1,形容詞
135,child,子供,,,,,,,,,,,,,,,古い,離れて,最も,1,名詞
136,mean,卑しい,,,,,,,,,,,,,,,子供,古い,離れて,1,動詞
137,look,見る,,,,,,,,,,,,,,,卑しい,子供,古い,1,動詞
138,school,学校,,,,,,,,,,,,,,,見る,卑しい,子供,1,名詞
139,four,4,,,,,,,,,,,,,,,学校,見る,卑しい,1,数詞
140,next,次の,,,,,,,,,,,,,,,4,学校,見る,1,形容詞
141,every,すべて,,,,,,,,,,,,,,,次の,4,学校,1,形容詞
142,few,少数,,,,,,,,,,,,,,,すべて,次の,4,1,形容詞
143,always,常に,,,,,,,,,,,,,,,少数,すべて,次の,1,副詞
144,before,以前,,,,,,,,,,,,,,,常に,少数,すべて,1,前置詞
145,each,各,,,,,,,,,,,,,,,以前,常に,少数,1,形容詞
146,woman,女性,,,,,,,,,,,,,,,各,以前,常に,1,名詞
147,under,下の,,,,,,,,,,,,,,,女性,各,以前,1,前置詞
148,night,夜,,,,,,,,,,,,,,,下の,女性,各,1,名詞
149,part,分ける,,,,,,,,,,,,,,,夜,下の,女性,1,名詞
150,give,あげる,,,,,,,,,,,,,,,分ける,夜,下の,1,動詞
151,find,見つける,,,,,,,,,,,,,,,あげる,分ける,夜,1,動詞
152,five,5,,,,,,,,,,,,,,,見つける,あげる,分ける,1,数詞
153,different,違う,,,,,,,,,,,,,,,5,見つける,あげる,1,形容詞
154,place,場所,,,,,,,,,,,,,,,違う,5,見つける,1,名詞
155,without,なし,,,,,,,,,,,,,,,場所,違う,5,1,前置詞
156,however,しかし,,,,,,,,,,,,,,,なし,場所,違う,1,副詞
157,during,期間中,,,,,,,,,,,,,,,しかし,なし,場所,1,前置詞
158,state,状態,,,,,,,,,,,,,,,期間中,しかし,なし,1,名詞
159,money,お金,,,,,,,,,,,,,,,状態,期間中,しかし,1,名詞
160,need,必要,,,,,,,,,,,,,,,お金,状態,期間中,1,動詞
161,though,けれども,,,,,,,,,,,,,,,必要,お金,状態,1,接続詞
162,big,大きい,,,,,,,,,,,,,,,けれども,必要,お金,1,形容詞
